,company,name_office,city,address,location,latitude,longitude
209,HealthEngine,Western Australia Office,Perth,6/663 Newcastle St.,"{'type': 'Point', 'coordinates': [-31.97822, 115.89084]}",-31.97822,115.89084
211,HEDLOC,Sydney (NSW) Head Office,Millers Point NSW,Level 4,"{'type': 'Point', 'coordinates': [-33.8719926, 151.1936039]}",-33.8719926,151.1936039
213,HEDLOC,Brisbane (QLD) Office,Brisbane QLD,Level 7,"{'type': 'Point', 'coordinates': [-27.471875, 153.110084]}",-27.471875,153.110084
215,HEDLOC,Perth (WA) Office,Perth WA,Level 29,"{'type': 'Point', 'coordinates': [-31.968149, 115.849689]}",-31.968149,115.849689
216,Loop11,Head Office,South Melbourne,119 Ferrars Street,"{'type': 'Point', 'coordinates': [-37.8361, 144.9563945]}",-37.8361,144.9563945
217,Trigora,,Rosanna,PO Box 691,"{'type': 'Point', 'coordinates': [-37.742893, 145.065044]}",-37.742893,145.065044
218,WebFM,Head Office,Camden,21 Mitchell St,"{'type': 'Point', 'coordinates': [-34.051916, 150.69582]}",-34.051916,150.69582
219,Kinetic Data,Kinetic Data Pty. Ltd.,Chatswood,781 Pacific Highway,"{'type': 'Point', 'coordinates': [-33.798642, 151.178984]}",-33.798642,151.178984
223,Jumbilo,World Headquarters,Eagle Heights,78 Wongwallan RD,"{'type': 'Point', 'coordinates': [-27.917488, 153.2075297]}",-27.917488,153.2075297
225,Flatdog Adventure,flatdog adventure,Ingham,34 Herbert street,"{'type': 'Point', 'coordinates': [-18.649757, 146.158867]}",-18.649757,146.158867
227,Dialogix,Mailing Address,Queensland,PO Box 1426,"{'type': 'Point', 'coordinates': [-27.454388, 153.030228]}",-27.454388,153.030228
228,ZaaBiz Pty Ltd,ZaaBiz Headquarter,Surry Hills NSW,"Level 4, Suite 14","{'type': 'Point', 'coordinates': [-33.806371, 150.923345]}",-33.806371,150.923345
230,ParkSlide,ParkSlide Melbourne,Port Melbourne,Office 63,"{'type': 'Point', 'coordinates': [-37.843183, 144.938697]}",-37.843183,144.938697
231,ParkSlide,ParkSlide Sydney,Waterloo,Office 18,"{'type': 'Point', 'coordinates': [-33.3970827, 115.7772297]}",-33.3970827,115.7772297
233,bwired,bwired Office Address,Melbourne,348 High St,"{'type': 'Point', 'coordinates': [-37.857674, 145.037319]}",-37.857674,145.037319
235,Agency Browser,Agency Browser Ltd.,St Helens Park,16 Heritage Heights Circuit,"{'type': 'Point', 'coordinates': [-34.103392, 150.804956]}",-34.103392,150.804956
236,Audinate,Australia Office,Ultimo,458 Wattle St,"{'type': 'Point', 'coordinates': [-33.8810954, 151.1968839]}",-33.8810954,151.1968839
237,BT Imaging,,Surry Hills,1 Blackburn ST,"{'type': 'Point', 'coordinates': [-33.947414, 150.967905]}",-33.947414,150.967905
238,Internet Marketing Consultant,Main,Hepburn Springs,11 Mckinnon Road,"{'type': 'Point', 'coordinates': [-37.307999, 144.134544]}",-37.307999,144.134544
239,ekidnaworld,,Queensland,Fortitude Valley,"{'type': 'Point', 'coordinates': [-27.4574861, 153.033686]}",-27.4574861,153.033686
242,Exploroo Pty Ltd,Exploroo Pty Ltd,"Gold Coast, QLD",19 Seabeach Ave,"{'type': 'Point', 'coordinates': [-28.048422, 153.4375]}",-28.048422,153.4375
244,Netsize,,West Chatswood,P.O. Box 5122,"{'type': 'Point', 'coordinates': [-33.867139, 151.207114]}",-33.867139,151.207114
245,Global Surfari,World Headquarters,Manly,PO BOX 290,"{'type': 'Point', 'coordinates': [-33.797144, 151.28804]}",-33.797144,151.28804
247,Instra Corporation,Head Office,Melbourne,,"{'type': 'Point', 'coordinates': [-37.8133386, 144.9708234]}",-37.8133386,144.9708234
250,FireScope,APAC Office,Sydney,,"{'type': 'Point', 'coordinates': [-33.867139, 151.207114]}",-33.867139,151.207114
256,CommTel Network Solutions,Head Office,Tullamarine,46 Ovata Drive,"{'type': 'Point', 'coordinates': [-37.709071, 144.863665]}",-37.709071,144.863665
257,CommTel Network Solutions,Administration & Sales,Tullamarine,8 Mohr Street,"{'type': 'Point', 'coordinates': [-37.711099, 144.86465]}",-37.711099,144.86465
258,CommTel Network Solutions,Western Region Office,Victoria Park,P.O. Box 4361,"{'type': 'Point', 'coordinates': [-37.034419, 143.743808]}",-37.034419,143.743808
259,Novera,,Sydney,Level 4,"{'type': 'Point', 'coordinates': [-33.868898, 151.202966]}",-33.868898,151.202966
260,Track and Locate,Track and Locate,Sydney,71 Macquarie St,"{'type': 'Point', 'coordinates': [-33.815217, 151.002324]}",-33.815217,151.002324
